Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 16plex_N	Razor + unique peptides 16plex_N	Unique peptides 16plex_N	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Identification type 16plex_N	Reporter intensity corrected 1 16plex_N	Reporter intensity corrected 2 16plex_N	Reporter intensity corrected 3 16plex_N	Reporter intensity corrected 4 16plex_N	Reporter intensity corrected 5 16plex_N	Reporter intensity corrected 6 16plex_N	Reporter intensity corrected 7 16plex_N	Reporter intensity corrected 8 16plex_N	Reporter intensity corrected 9 16plex_N	Reporter intensity corrected 10 16plex_N	Reporter intensity corrected 11 16plex_N	Reporter intensity corrected 12 16plex_N	Reporter intensity corrected 13 16plex_N	Reporter intensity corrected 14 16plex_N	Reporter intensity corrected 15 16plex_N	Reporter intensity corrected 16 16plex_N	Reporter intensity 1 16plex_N	Reporter intensity 2 16plex_N	Reporter intensity 3 16plex_N	Reporter intensity 4 16plex_N	Reporter intensity 5 16plex_N	Reporter intensity 6 16plex_N	Reporter intensity 7 16plex_N	Reporter intensity 8 16plex_N	Reporter intensity 9 16plex_N	Reporter intensity 10 16plex_N	Reporter intensity 11 16plex_N	Reporter intensity 12 16plex_N	Reporter intensity 13 16plex_N	Reporter intensity 14 16plex_N	Reporter intensity 15 16plex_N	Reporter intensity 16 16plex_N	Reporter intensity count 1 16plex_N	Reporter intensity count 2 16plex_N	Reporter intensity count 3 16plex_N	Reporter intensity count 4 16plex_N	Reporter intensity count 5 16plex_N	Reporter intensity count 6 16plex_N	Reporter intensity count 7 16plex_N	Reporter intensity count 8 16plex_N	Reporter intensity count 9 16plex_N	Reporter intensity count 10 16plex_N	Reporter intensity count 11 16plex_N	Reporter intensity count 12 16plex_N	Reporter intensity count 13 16plex_N	Reporter intensity count 14 16plex_N	Reporter intensity count 15 16plex_N	Reporter intensity count 16 16plex_N	Sequence coverage 16plex_N [%]	Intensity	Intensity 16plex_N	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions	Taxonomy IDs
CON__A2VCT4	CON__A2VCT4	1	1	1		1	1	1	1	1	1	1	2.9	2.9	2.9	54.287	482	482	4.5				1	1								1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	+		+	0	20495	True	21255	35626;35627	31118	31118		0		446	-1
CON__O76013	CON__O76013	1	1	1		1	1	1	1	1	1	1	2.8	2.8	2.8	52.247	467	467	5					1								0.0056481	2.1054	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0			+	1	28670	True	29662	49994	43604	43604		1		464	-1
CON__O76015;CON__O76014	CON__O76015;CON__O76014	2;2	2;2	2;2	;	2	2	2	2	2	2	2	3.5	3.5	3.5	50.49	456	456;471	1.5	1	1											0.0064661	2.0698	By MS/MS	111980	68367	27936	22388	39213	82284	72613	0	30454	46262	35836	49127	29623	48513	0	66084	111980	68367	27936	22388	39213	82284	72613	0	30454	46262	35836	49127	29623	48513	0	66084	2	2	1	1	1	2	1	0	1	2	2	2	2	1	0	1	3.5	93494000	93494000	2			+	2	4316;15744	True;True	4476;16261	7767;27367	6745;23950	6745;23950					-1;-1
CON__P00761	CON__P00761	2	2	2		1	2	2	2	2	2	2	7.8	7.8	7.8	24.409	231	231	8.67						1	2	2	1	1	1	1	0.00030807	3.8274	By MS/MS	411040	254490	327980	370570	353080	222220	297780	221860	244210	294710	135720	146070	246490	245660	206850	475500	411040	254490	327980	370570	353080	222220	297780	221860	244210	294710	135720	146070	246490	245660	206850	475500	3	2	3	3	3	3	2	2	2	2	1	2	2	3	2	2	7.8	51119000000	51119000000	6			+	3	17158;28028	True;True	17719;28998	29770;29771;48770;48771;48772;48773;48774;48775;48776	25970;25971;42560;42561;42562;42563	25971;42562					-1
CON__P02662	CON__P02662	1	1	1		1	1	1	1	1	1	1	6	6	6	22.975	199	199	5.5					1	1							0.00030637	3.6205	By MS/MS	23172	4813.2	27825	18740	6100.8	12075	27859	19597	8543.3	38631	6910.9	29937	7846	28141	12793	738940	23172	4813.2	27825	18740	6100.8	12075	27859	19597	8543.3	38631	6910.9	29937	7846	28141	12793	738940	2	1	2	2	1	2	2	2	1	2	1	2	1	2	2	2	6	25062000	25062000	2			+	4	6225	True	6437	10918;10919	9570;9571	9570					-1
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253;CON__Q9R0H5;CON__Q6NXH9;CON__Q8BGZ7;CON__P50446;CON__Q6IFZ6;CON__Q7Z794;CON__Q3TTY5	CON__P04264	18;3;1;1;1;1;1;1;1	18;3;1;1;1;1;1;1;1	16;2;0;0;0;0;0;0;1		9	18	18	16	18	18	16	30.1	30.1	28.3	66.017	644	644;606;524;539;551;553;572;578;707	6.97	2	6	1		1		1	7	2	3	3	3	0	151.83	By MS/MS	1140900	2669500	2193000	2902900	1439500	2947300	2342500	1723500	1491000	1713500	1151400	1462400	2993100	1991200	1907500	4441900	1140900	2669500	2193000	2902900	1439500	2947300	2342500	1723500	1491000	1713500	1151400	1462400	2993100	1991200	1907500	4441900	10	15	16	17	10	16	16	16	12	15	12	11	16	14	17	17	30.1	4169400000	4169400000	22			+	5	3905;6591;6592;7123;9034;9144;16069;19468;19469;22563;23719;23947;24134;24276;26277;26970;30222;30644	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	4053;6811;6812;7354;9349;9462;16595;20187;20188;23367;24541;24777;24971;25122;27181;27901;31275;31708	7151;11516;11517;11518;12383;15928;15929;16141;27901;33989;33990;33991;39063;39064;41092;41093;41094;41095;41096;41511;41512;41824;41825;42082;45599;46793;46794;52895;53646	6169;10082;10083;10084;10821;13862;13863;14050;24396;29649;29650;34097;35863;36224;36225;36497;36713;39812;40851;40852;46073;46731	6169;10082;10084;10821;13863;14050;24396;29649;29650;34097;35863;36225;36497;36713;39812;40851;46073;46731	0		296		-1;-1;-1;-1;-1;-1;-1;-1;-1
CON__P08779	CON__P08779	4	2	1		1	4	2	1	4	2	1	8.9	5.5	4	51.267	473	473	6.5		1									1		0	16.919	By MS/MS	922120	740790	907360	1090000	922250	849090	676120	1199700	634330	844340	1236300	980110	1041100	806210	1037200	959930	922120	740790	907360	1090000	922250	849090	676120	1199700	634330	844340	1236300	980110	1041100	806210	1037200	959930	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	8.9	1157100000	1157100000	2			+	6	4305;10834;14584;29750	True;True;False;False	4465;11220;15068;30780;30781	7754;19191;25366;51957;51958	6732;16724;22200;45280;45281	6732;16724;22200;45281	1		121		-1
CON__P13645;CON__P02535-1;CON__P02533;CON__P08730-1;CON__A2A4G1;CON__P13646-1;CON__Q3ZAW8;CON__Q9Z2K1;CON__Q7Z3Y9;CON__Q7Z3Y8;CON__P08727;CON__P19001;CON__Q7Z3Z0;CON__Q9QWL7;CON__Q04695;CON__P05784;CON__ENSEMBL:ENSP00000377550;CON__P19012	CON__P13645	10;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	10;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	7;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0		18	10	10	7	9	9	7	20.7	20.7	16.5	59.51	593	593;570;472;437;456;458;474;469;468;459;400;403;450;433;432;423;420;456	4.46	4	1	2	2				1	1	1	1		0	43.779	By MS/MS	636620	1039300	587720	702030	362560	973170	1034900	493240	593160	598100	345640	451720	870990	805220	376870	2477100	636620	1039300	587720	702030	362560	973170	1034900	493240	593160	598100	345640	451720	870990	805220	376870	2477100	5	8	8	7	5	9	8	7	5	8	5	8	8	9	6	9	19.2	2078300000	2078300000	10			+	7	9069;11094;14584;18637;20393;21745;23139;24792;25083;29750	True;True;True;True;True;True;True;True;True;True	9384;11482;15068;21152;22532;23952;25659;25956;30780;30781	15997;19597;25366;35454;37737;40056;40057;42991;42992;43512;43513;51957;51958	13924;17081;22200;30968;32957;34944;37508;37965;45280;45281	13924;17081;22200;30968;32957;34944;37508;37965;45281	1		150		-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
CON__P13647;CON__P48668;CON__P04259;CON__P02538	CON__P13647;CON__P48668;CON__P04259;CON__P02538	4;3;3;3	3;2;2;2	2;2;2;2	;;;	4	4	3	2	4	3	2	9.5	7.5	4.2	62.378	590	590;564;564;564	9.67								1		1	1		0.00031221	4.1141	By MS/MS	39039	67024	56464	52619	29445	90360	160950	56516	51821	33585	16683	42249	67159	27182	21490	182780	39039	67024	56464	52619	29445	90360	160950	56516	51821	33585	16683	42249	67159	27182	21490	182780	2	2	2	2	2	3	3	2	2	2	1	2	2	2	1	3	9.5	193320000	193320000	3			+	8	19534;21441;30423;30637	False;True;True;True	20254;22224;31479;31701	34089;37241;53224;53636	29743;32522;46359;46723	29743;32522;46359;46723					-1;-1;-1;-1
CON__P35527	CON__P35527	8	7	7		1	8	7	7	8	7	7	14.8	14.8	14.8	62.129	623	623	5.62	1		1	1	1	1	1	1			1		0	23.552	By MS/MS	70022	76102	102920	124060	71562	177850	142500	79219	69858	55838	65664	67892	203870	112520	231550	648030	70022	76102	102920	124060	71562	177850	142500	79219	69858	55838	65664	67892	203870	112520	231550	648030	2	2	3	2	1	3	3	2	2	1	1	1	3	2	3	5	14.8	700360000	700360000	8			+	9	7129;7939;8810;14584;25282;25283;26757;26784	True;True;True;False;True;True;True;True	7361;8203;9116;15068;26160;26161;27675;27703	12391;12392;13883;15545;25366;43822;43823;46428;46480	10828;10829;12116;13523;22200;38238;38239;40544;40585	10829;12116;13523;22200;38238;38239;40544;40585					-1
CON__P35908v2;CON__P35908;CON__Q8VED5;CON__Q5XKE5;CON__O95678	CON__P35908v2;CON__P35908	6;6;1;1;1	5;5;1;1;1	4;4;0;0;0	;	5	6	5	4	6	5	4	9.9	8	6.1	65.432	639	639;645;531;535;551	4.8	1		1		1		1	1					0	27.276	By MS/MS	48690	80290	53640	50469	24188	86288	139950	85541	43012	64174	40112	18946	38153	22013	30921	176240	48690	80290	53640	50469	24188	86288	139950	85541	43012	64174	40112	18946	38153	22013	30921	176240	1	2	1	1	1	2	3	2	1	2	1	1	1	1	1	3	9.9	380880000	380880000	5			+	10	69;6591;19534;24273;28138;30952	True;False;True;True;True;True	72;6811;20254;25119;29111;32024	117;11516;34089;42079;48978;54244	106;10082;29743;36709;42730;47249	106;10082;29743;36709;42730;47249					-1;-1;-1;-1;-1
CON__Q148H6;CON__Q7Z3Y7	CON__Q148H6;CON__Q7Z3Y7	2;2	1;1	1;1	;	2	2	1	1	2	1	1	3.9	1.9	1.9	50.775	464	464;486	7.5						1	1	1	1				1	-2	By MS/MS	246880	298320	210460	365580	326000	311580	383420	227440	210410	388110	300510	221780	415900	284720	272640	252180	246880	298320	210460	365580	326000	311580	383420	227440	210410	388110	300510	221780	415900	284720	272640	252180	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3.9	14975000000	14975000000	3	+		+	11	29750;30790	False;True	30780;30781;31856	51957;51958;53946;53947;53948;53949	45280;45281;46991;46992;46993	45281;46991	1		90		-1;-1
REV__CON__P35900;REV__CON__Q9D312	REV__CON__P35900;REV__CON__Q9D312	1;1	1;1	1;1	;	2	1	1	1	1	1	1	0	0	0	48.486	424	424;431	10										1			1	-2	By MS/MS	0	5361.6	6839.4	0	8415.5	5525	0	3306.7	4049.3	3252.7	0	3008.2	2488	7362	3903.4	10015	0	5361.6	6839.4	0	8415.5	5525	0	3306.7	4049.3	3252.7	0	3008.2	2488	7362	3903.4	10015	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	6612100	6612100	1	+	+	+	12	14765	True	15256	25705	22490	22490	2		351		-1;-1
REV__CON__Q9NSB2;REV__CON__Q6ISB0	REV__CON__Q9NSB2;REV__CON__Q6ISB0	2;2	2;2	2;2	;	2	2	2	2	2	2	2	0	0	0	64.895	600	600;600	3.5	1	2							1				0.0039852	2.2348	By MS/MS	1122600	1887300	1384800	2431700	2505600	105110	1589300	2545500	713510	2281600	785330	94886	1872200	2218300	2139600	2109800	1122600	1887300	1384800	2431700	2505600	105110	1589300	2545500	713510	2281600	785330	94886	1872200	2218300	2139600	2109800	3	4	3	2	2	2	3	3	2	4	2	1	4	3	2	3	0	11526000000	11526000000	2		+	+	13	16927;18715	True;True	17479;19407	29359;29360;29361;32755	25631;28556	25631;28556	3		298		-1;-1
REV__YBL088C	REV__YBL088C	3	3	3	sp|YBL088C|TEL1_YEAST NCSL01000021.1 35087-43450 ORF Verified Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; acts with Red1p and Mec1p to promote interhomolog recombi	1	3	3	3	3	3	3	0	0	0	321.63	2787	2787	5.4			2	1	1							1	0.0086689	1.9576	By MS/MS	18901	4283.5	0	0	9504.8	0	6068.2	38047	2416.8	0	4284.7	2574.4	0	0	2891.5	0	18901	4283.5	0	0	9504.8	0	6068.2	38047	2416.8	0	4284.7	2574.4	0	0	2891.5	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	8259100	8259100	1		+		14	592;19049;27368	True;True;True	619;19759;28311	1130;33319;47484;47485;47486	947;29055;41452	947;29055;41452		492		376	-1
